things,places
"BEEF,RND,EYE OF RND,LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD",
"BEEF,RND,EYE OF RND,LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,RND,EYE OF RND,LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",
"BEEF,RND,EYE OF RND,LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,RND,EYE OF RND,LN&FAT,1/8""FAT,SEL,CKD,RSTD",
"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD",
"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",
"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,SEL,CKD,RSTD",
"BEEF,RND,TOP RND,LN,1/8"" FAT,CHOIC,CKD,PAN-FRIED",
"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD",
"BEEF,RND,TOP RND STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD",
"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",
"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",
"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,PAN-FRIED",
"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,SEL,CKD,BRSD",
"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,SEL,CKD,BRLD",
"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,PRIME,RAW",
"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,PRIME,CKD,BRLD",
"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",
"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",
"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",
"BEEF,SHRT LOIN,TOP LOIN,LN & FAT,1/8"" FAT,CHOIC,RAW",
"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",
"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,SEL,CKD,BRLD",
"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,PRIME,RAW",
"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,PRIME,CKD,BRLD",
"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,TENDERLOIN,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD",
"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD",
"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",
"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",
"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,SEL,CKD,BRLD",
"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,SEL,CKD,RSTD",
"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,PRIME,RAW",
"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,PRIME,CKD,BRLD",
"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,PRIME,CKD,RSTD",
"BEEF,TOP SIRLOIN,LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,TOP SIRLOIN,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",
"BEEF,TOP SIRLOIN,LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,TOP SIRLOIN,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",
"BEEF,TOP SIRLOIN,LN&FAT,1/8""FAT,CHOIC,CKD,PAN-FRIED",
"BEEF,TOP SIRLOIN,LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,TOP SIRLOIN,LN&FAT,1/8""FAT,SEL,CKD,BRLD",
"BEEF,CHUCK,CLOD RST,LN ONLY,TO 0"" FAT,USDA CHOIC,CKD,RSTD",
"BEEF,CHUCK,CLOD RST,LN ONLY,TO 0"" FAT,USDA SEL,CKD,RSTD",
"BEEF,CHUCK,CLOD STEAK,LN ONLY,TO 0"" FAT,USDA CHOIC,CKD,BRSD",
"BEEF,CHUCK,CLOD STEAK,LN ONLY,TO 0"" FAT,USDA SEL,CKD,BRSD",
"BEEF,FLANK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",
"BEEF,FLANK,LN & FAT,0"" FAT,SEL,CKD,BRLD",
"BEEF,BRISKET,FLAT HALF,LN & FAT,0"" FAT,SEL,CKD,BRSD",
"BEEF,RIB EYE,SML END (RIBS 10-12),LN & FAT,0"",SEL,CKD,BRLD",
"BEEF,RIBEYE,SML END(RIBS 10-12),LN&FAT,0"",ALL GRDS,CKD,BRLD",
"BF,BTTM SRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",
"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,ALL GRDS,RAW",
"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,CHOIC,CKD,RSTD",
"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,CHOIC,RAW",
"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,SEL,CKD,RSTD",
"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,SEL,RAW",
"BEEF,RND,TOP RND,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",
"BEEF,CHUCK,MOCK TENDER STK,LN,0"" FAT,USDA CHOIC,CKD,BRLD",
"BEEF,CHUCK,MOCK TENDER STK,LN,0"" FAT,USDA SEL,CKD,BRLD",
"BEEF,CHUCK,TOP BLADE,LN ONLY,TO 0"" FAT,USDA CHOIC,CKD,BRLD",
"BEEF,CHUCK,TOP BLADE,LN ONLY,TO 0"" FAT,USDA SEL,CKD,BRLD",
"BEEF,RND,TOP RND,LN & FAT,0"" FAT,CHOIC,CKD,BRLD",
"BEEF,RND,TOP RND,LN & FAT,0"" FAT,SEL,CKD,BRLD",
"BEEF,FLANK,LN & FAT,0"" FAT,ALL GRDS,RAW",
"BEEF,FLANK,LN & FAT,0"" FAT,SEL,RAW",
"BEEF,PLATE,INSIDE SKIRT STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",
"BEEF,PLATE,OUTSIDE SKIRT STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",
"BF,LOIN,BTTM SIRLOIN BUTT,TRI-TIP,LN,0"" FAT,ALL GRD,CKD,RSTD",
"BEEF,BTTM SIRLOIN,TRI-TIP STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",
"ALCOHOLIC BEV,BEER,REG,ALL",
"ALCOHOLIC BEV,BEER,REG,BUDWEISER",
"ALCOHOLIC BEV,BEER,LT,BUDWEISER SEL",
"ALCOHOLIC BEV,BEER,LT",
"ALCOHOLIC BEV,BEER,LT,BUD LT",
"ALCOHOLIC BEV,DAIQUIRI,CND",
"ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE",
"ALCOHOLIC BEV,BEER,LT,MICHELOB ULTRA",
"ALCOHOLIC BEV,PINA COLADA,CND",
"ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE",
"ALCOHOLIC BEV,TEQUILA SUNRISE,CND",
"WHISKEY SOUR MIX,PDR",
"ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX",
"ALCOHOLIC BEV,WHISKEY SOUR,CND",
"WHISKEY SOUR MIX,BTLD",
"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028",
"ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF",
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",
"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",
"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",
"ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF",
"ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF",
"ALCOHOLIC BEV,WINE,DSSRT,SWT",
"ALCOHOLIC BEV,WINE,TABLE,ALL",
"CAMPBELL SOUP COMPANY,V8 SPLASH SMOOTHIES,PEACH MANGO",
"CAMPBELL SOUP COMPANY,V8 SPLASH SMOOTHIES,STRAWBERRY BANANA",
"CAMPBELL SOUP COMPANY,V8 SPLASH SMOOTHIES,TROPICAL COLADA",
"ALCOHOLIC BEV,WINE,TABLE,RED",
"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET SAUVIGNON",
"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET FRANC",
"ALCOHOLIC BEV,WINE,TABLE,RED,PINOT NOIR",
"ALCOHOLIC BEV,WINE,TABLE,RED,SYRAH",
"ALCOHOLIC BEV,WINE,TABLE,RED,BARBERA",
"ALCOHOLIC BEV,WINE,TABLE,RED,ZINFANDEL",
"ALCOHOLIC BEV,WINE,TABLE,RED,PETITE SIRAH",
"ALCOHOLIC BEV,WINE,TABLE,RED,CLARET",
"ALCOHOLIC BEV,WINE,TABLE,WHITE",
"ALCOHOLIC BEV,WINE,TABLE,RED,LEMBERGER",
"ALCOHOLIC BEV,WINE,TABLE,RED,SANGIOVESE",
"ALCOHOLIC BEV,WINE,TABLE,RED,CARIGNANE",
"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT GRIS (GRIGIO)",
"BEEF BROTH&TOMATO JUC,CND",
"ALCOHOLIC BEV,WINE,TABLE,WHITE,CHENIN BLANC",
"ALCOHOLIC BEV,WINE,TABLE,WHITE,FUME BLANC",
"MIXED VEG & FRUIT JUC DRK,W/ ADDED NUTR",
"ALCOHOLIC BEV,WINE,TABLE,WHITE,MULLER THURGAU",
"CARBONATED BEV,CLUB SODA",
"ALCOHOLIC BEV,WINE,TABLE,WHITE,GEWURZTRAMINER",
"ALCOHOLIC BEV,WINE,TABLE,WHITE,SEMILLON",
"CARBONATED BEV,CRM SODA",
"DRINK MIX,QUAKER OATS,GATORADE,LEMON-LIME FLAVOR,PDR",
"ALCOHOLIC BEV,WINE,TABLE,WHITE,RIESLING",
"ALCOHOLIC BEV,WINE,TABLE,WHITE,SAUVIGNON BLANC",
"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST",
"CARBONATED BEV,GINGER ALE",
"TEA,RTD,NESTLE,COOL NESTEA ICE TEA LEMON FLAVOR",
"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC",
"ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT",
"CARBONATED BEV,GRAPE SODA",
"CARBONATED BEV,LO CAL,OTHER THAN COLA OR PEPPER,WO/ CAFFEINE",
"CARBONATED BEV,LEMON-LIME SODA,CONTAINS CAFFEINE",
"CARBONATED BEV,SPRITE,LEMON-LIME,WO/ CAFFEINE",
"CARBONATED BEV,LO CAL,COLA OR PEPPR-TYPE,W/ ASPRT,WO/ CAFFEN",
"CARBONATED BEV,COLA,WO/CAFFEINE",
"CARBONATED BEV,COLA,W/HIGHER CAFFEINE",
"CARBONATED BEV,RED SUGAR,COLA,CONTAINS CAFFEINE & SWEETENERS",
"CARBONATED BEV,ORANGE",
"CARB BEV,LO CAL,OTHR THN COLA OR PEPPER,W/ ASPRT,CONTNS CAFF",
"ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY",
"CARBONATED BEV,PEPPER-TYPE,CONTAINS CAFFEINE",
"ENGY DRK,RED BULL,W/ ADD CAFFEINE,NIACIN,PANTO,VIT B6 & B12",
"CARBONATED BEV,TONIC H2O",
"ENG DRK,RED BULL,SGR FR,W/ADD CAFF,NIACIN,PANTO,VIT B6 & B12",
"CARBONATED BEV,ROOT BEER",
"ALCOHOLIC BEV,WINE,TABLE,RED,GAMAY",
"ALCOHOLIC BEV,WINE,TABLE,RED,MOUVEDRE",
"CARBONATED BEV,LO CAL,COLA OR PEPR,W/ NA SACC,CONTAINS CAFFN",
"CAROB-FLAVOR BEV MIX,PDR",
"CAROB-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK",
"CHOCOLATE-FLAVOR BEV MIX FOR MILK,PDR,WO/ ADDED NUTR",
"CHOCOLATE-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK",
CHOCOLATE SYRUP,
"CHOCOLATE SYRUP,PREP W/ WHL MILK",
"CLAM&TOMATO JUC,CND",
"COCOA MIX,PDR",
"COCOA MIX,PDR,PREP W/ H2O",
"COCOA MIX,NESTLE,HOT COCOA MIX RICH CHOC W/ MARSHMALLOWS",
"COCOA MIX,NO SUGAR ADDED,PDR",
"COCOA MIX,NESTLE,RICH CHOC HOT COCOA MIX",
"COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O,DECAFFEINATED",
"COFFEE,BREWED,ESPRESSO,REST-PREP,DECAFFEINATED",
"COFFEE,INST,REG,PDR,HALF THE CAFFEINE",
"COFFEE&COCOA (MOCHA) PDR,W/WHTNR&LO CAL SWTNR,DECAFFEINATED",
"COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O",
"COFFEE,BREWED,ESPRESSO,REST-PREP",
"COFFEE,INST,REG,PDR",
"COFFEE,INST,REG,PREP W/H2O",
"COFFEE,INST,DECAFFEINATED,PDR",
"COFFEE,INST,DECAFFEINATED,PDR,PREP W/H2O",
"COFFEE,INST,W/CHICORY,PDR",
"COFFEE,INST,W/ CHICORY,PREP W/ H2O",
"COFFEE,INST,W/SUGAR,MOCHA-FLAVOR,PDR",
"COFFEE,INST,W/SUGAR,CAPPUCCINO-FLAVOR PDR",
"COFFEE,INST,W/SUGAR,FRENCH-FLAVOR,PDR",
"COFFEE SUB,CRL GRAIN BEV,PDR",
"COFFEE SUB,CRL GRAIN BEV,PREP W/ H2O",
"CRANBERRY-APPLE JUC DRK,BTLD",
"CRANBERRY-APRICOT JUC DRK,BTLD",
"CRANBERRY-GRAPE JUC DRK,BTLD",
"CRANBERRY JUC COCKTAIL,BTLD",
"CRANBERRY JUC COCKTAIL,BTLD,LO CAL,W/CA,SACCHARIN&CORN SWTNR",
"EGGNOG-FLAVOR MIX,PDR,PREP W/ WHL MILK",
"CITRUS FRUIT JUC DRK,FRZ CONC",
"CITRUS FRUIT JUC DRK,FRZ CONC,PREP W/H2O",
"FRUIT PUNCH DRK,WO/ ADDED NUTR,CND",
"FRUIT PUNCH DRK,W/ ADDED NUTR,CND",
"FRUIT PUNCH DRK,FRZ CONC",
"FRUIT PUNCH DRK,FRZ CONC,PREP W/H2O",
"GRAPE DRINK,CANNED",
"GRAPE JUICE DRINK,CANNED",
"LEMONADE,POWDER",
"LEMONADE,PDR,PREP W/H2O",
"LEMONADE,LO CAL,W/ASPRT,PDR",
"LEMONADE,LO CAL,W/ASPRT,PDR,PREP W/H2O",
"LEMONADE,FRZ CONC,WHITE",
"LEMONADE,FRZ CONC,WHITE,PREP W/H2O",
"LEMONADE-FLAVOR DRK,PDR",
"LEMONADE-FLAVOR DRK,PDR,PREP W/H2O",
"LIMEADE,FRZ CONC",
"LIMEADE,FRZ CONC,PREP W/H2O",
MALT BEVERAGE,
"MALTED DRK MIX,NAT,W/ ADDED NUTR,PDR",
"MALTED DRK MIX,NAT,W/ ADDED NUTR,PDR,PREP W/ WHL MILK",
"MALTED DRK MIX,NAT,PDR",
"MALTED DRK MIX,NAT,PDR,PREP W/ WHL MILK",
"MALTED DRK MIX,CHOC,W/ ADDED NUTR,PDR",
"MALTED DRK MIX,CHOC,W/ ADDED NUTR,PDR,PREP W/ WHL MILK",
"MALTED DRK MIX,CHOC,PDR",
"MALTED DRK MIX,CHOC,PDR,PREP W/ WHL MILK",
"ORANGE DRK,CND,W/ ADDED VIT C",
"ORANGE&APRICOT JUC DRK,CND",
"PINEAPPLE&GRAPEFRUIT JUC DRK,CND",
"PINEAPPLE&ORANGE JUC DRK,CND",
"SHAKE,FAST FOOD,CHOCOLATE",
"SHAKE,FAST FOOD,VANILLA",
"STRAWBERRY-FLAVOR BEV MIX,PDR",
"STRAWBERRY-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK",
"TEA,BREWED,PREP W/TAP H2O,DECAFFEINATED",
"TEA,INST,UNSWTND,PDR,DECAFFEINATED",
"TEA,BREWED,PREP W/TAP H2O",
"TEA,INST,SWTND W/NA SACCHARIN,LEMON-FLAV,PDR,DECAFFEINATED",
"TEA,INST,SWTND W/SUGAR,LEMN-FLAV,WO/ VIT C,PDR,DECAFFEINATED",
"TEA,INST,UNSWTND,PDR",
"TEA,INST,UNSWTND,PDR,PREP",
"TEA,INST,UNSWTND,LEMON-FLAVORED,PDR",
"TEA,INST,SWTND W/SUGAR,LEMON-FLAVORED,WO/ VIT C,PDR",
"TEA,INST,SWTND W/SUGAR,LEMON-FLAVORED,WO/ VIT C,PDR,PREP",
"TEA,INST,SWTND W/NA SACCHARIN,LEMON-FLAVORED,PDR",
"TEA,INST,SWTND W/NA SACCHARIN,LEMON-FLAVORED,PREP",
"TEA,HERB,OTHER THAN CHAMOMILE,BREWED",
"SPORTS DRK,FRUIT-FLAVORED,LO CAL,RTD",
"WATER,BTLD,PERRIER",
"WATER,BTLD,POLAND SPRING",
"COCOA MIX,W/ ASPRT,PDR,PREP W/ H2O",
"CARBONATED BEV,COLA,CONTAINS CAFFEINE",
"FRUIT PUNCH JUC DRK,FRZ CONC",
"FRUIT PUNCH JUC DRK,FRZ CONC,PREP W/H2O",
"ORANGE-FLAVOR DRK,BRKFST TYPE,PDR",
"ORANGE-FLAVOR DRK,BRKFST TYPE,PDR,PREP W/ H2O",
"ORANGE-FLAVOR DRK,BRKFST TYPE,LO CAL,PDR",
"WATER,TAP,DRINKING",
"WATER,TAP,WELL",
"ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF",
"ALCOHOLIC BEV,LIQUEUR,COFFEE W/CRM,34 PROOF",
"CARB BEV,LO CAL,COLA OR PEP,W/ ASPRT, CAF",
"COFFEE SUB,CRL GRAIN BEV,PDR,PREP W/ WHL MILK",
"DAIRY DRK MIX,CHOC,RED CAL,W/ASPRT,PDR",
"DAIRY DRK MIX,CHOC,RED CAL,W/ ASPRT,PDR,PREP W/ H2O & ICE",
"ORANGE-FLAVOR DRK,BRKFST TYPE,W/PULP,FRZ CONC",
"ORANGE-FLAVOR DRK,BRKFST TYPE,W/PULP,FRZ CONC,PREP W/H2O",
"ORANGE DRK,BRKFST TYPE,W/ JUC & PULP,FRZ CONC",
"ORANGE DRK,BRKFST TYPE,W/JUC&PULP,FRZ CONC,PREP W/H2O",
"SHAKE,FAST FD,STRAWBERRY",
"WATER,TAP,MUNICIPAL",
"CRANBERRY JUC COCKTAIL,FRZ CONC",
"CRANBERRY JUC COCKTAIL,FRZ CONC,PREP W/ H2O",
"WATER,BTLD,NON-CARBONATED,DANNON",
"WATER,BTLD,NON-CARBONATED,PEPSI,AQUAFINA",
"WATER,BTLD,NON-CARBONATED,DASANI",
"ORANGE BRKFST DRK,RTD",
"ORANGE BRKFST DRK,RTD,W/ ADDED NUTR",
"WATER,BTLD,NON-CARBONATED,CALISTOGA",
"WATER,BTLD,NON-CARBONATED,CRYSTAL GEYSER",
"WATER,BTLD,NON-CARBONATED,NAYA",
"WATER,BTLD,NON-CARBONATED,DANNON FLUORIDE TO GO",
"DRINK MIX,QUAKER OATS,GATORADE,ORANGE FLAVOR,PDR",
"SPORTS DRK,PEPSICO,GATORADE,FRUIT-FLAVORED,RTD",
"SPORTS DRK,COCA-COLA,POWERADE,LEMON-LIME FLAV,RTD",
"QUAKER OATS,PROPEL FITNESS H2O,FRUIT-FLAVORED,NON-CARBONATED",
"TEA,RTD,ARIZONA ICED TEA,W/ LEMON FLAVOR",
"TEA,RTD,LIPTON BRISK ICED TEA,W/ LEMON FLAVOR",
"WHISKEY SOUR MIX,BTLD,W/ K&NA",
"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14530",
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF",
"ALCOHOLIC BEV,DISTILLED,ALL 100 PROOF",
"ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF",
"ALCOHOLIC BEV,WINE,DSSRT,DRY",
"CARBONATED BEV,LOCAL,OTHR THAN COLA OR PEP,W/ NA SAC,WO/ CAF",
"COCOA MIX,W/ ASPT,LO CAL,PDR,W/ ADD CA P,WO/ ADD NA OR VIT A",
"FRUIT PUNCH-FLAVOR DRK,PDR,WO/ NA",
"FRUIT PUNCH-FLAVOR DRK,PDR,WO/ NA,PREP W/H2O",
"LEMONADE,FRZ CONC,PINK",
"LEMONADE,FRZ CONC,PINK,PREP W/H2O",
"TEA,BREWED,PREP W/DISTILLED H2O",
"TEA,HERB,CHAMOMILE,BREWED",
"TEA,INST,SWTND W/SUGAR,LEMON-FLAVORED,W/ VIT C,PDR",
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",
"CARBONATED BEV,CHOCOLATE-FLAVORED SODA",
"WINE,NON-ALCOHOLIC",
"WATER,BTLD,GENERIC",
"CHOCOLATE-FLAVOR BEV MIX FOR MILK,PDR,W/ ADDED NUTR",
"CHOC-FLV BEV MIX FOR MILK,PDR,W/ ADD NUTR,PREP W/ WHL MILK",
"WATER,BTLD,NON-CARBONATED,EVIAN",
"TEA,RTD,UNSWTND,WENDY'S,FAST FD,WO/ ICE",
"ALCOHOLIC BEV,WINE,TABLE,RED,MERLOT",
"WATER,NON-CARBONATED,FRUIT FLAVORS,SWTND W/ LO CAL SWTNR",
"WATER W/ ADDED VITAMINS & MINERALS,SWTND, FRUIT FLAVORS",
"BREAKFAST TYPE DRK,ORANGE FLAVOR,RED SUGAR",
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,DIET BERRY BLEND",
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,DIET FRUIT MEDLEY",
"CAMPBELL SOUP COMPANY,V8 SPLASH,DIET STRAWBERRY KIWI",
"CAMPBELL SOUP COMPANY,V8 SPLASH,DIET TROPICAL BLEND",
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,BERRY BLEND",
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,FRUIT MEDLEY",
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC,GUAVA PASSION FRUIT",
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,MANGO PEACH",
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,ORANGE PNAPPL",
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,ORCHARD BLEND",
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,STRAWBERRY BANANA",
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,STRAWBERRY KIWI",
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,TROPICAL BLEND",
"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,PEACH MANGO",
"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,STRAWBERRY BANANA",
"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,TROPICAL",
"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,ACAI BERRY",
"COFFEE SUB,RSTD GRAIN BEV,NAT TOUCH KAFFREE ROMA,PDR",
"ANCHOVY,EUROPEAN,RAW",
"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL",
"BASS,FRSH H2O,MXD SP,RAW",
"BASS,STRIPED,RAW",
"BLUEFISH,RAW",
"BURBOT,RAW",
"BUTTERFISH,RAW",
"CARP,RAW",
"CARP,COOKED,DRY HEAT",
"CATFISH,CHANNEL,WILD,RAW",
"CATFISH,CHANNEL,CKD,BREADED&FRIED",
"CAVIAR,BLACK&RED,GRANULAR",
"CISCO,RAW",
"CISCO,SMOKED",
"COD,ATLANTIC,RAW",
"COD,ATLANTIC,CKD,DRY HEAT",
"COD,ATLANTIC,CND,SOL&LIQ",
"COD,ATLANTIC,DRIED&SALTED",
"COD,PACIFIC,RAW",
"CROAKER,ATLANTIC,RAW",
"CROAKER,ATLANTIC,CKD,BREADED&FRIED",
"CUSK,RAW",
"DOLPHINFISH,RAW",
"DRUM,FRESHWATER,RAW",
"EEL,MIXED SPECIES,RAW",
"EEL,MXD SP,CKD,DRY HEAT",
"FISH PORTIONS&STKS,FRZ,PREHTD",
"FLATFISH (FLOUNDER&SOLE SP),RAW",
"FLATFISH (FLOUNDER&SOLE SP),CKD,DRY HEAT",
"GEFILTEFISH,COMM,SWT RECIPE",
"GROUPER,MIXED SPECIES,RAW",
"GROUPER,MXD SP,CKD,DRY HEAT",
"HADDOCK,RAW",
"HADDOCK,COOKED,DRY HEAT",
"HADDOCK,SMOKED",
"HALIBUT,ATLANTIC&PACIFIC,RAW",
"HALIBUT,ATLANTIC&PACIFIC,CKD,DRY HEAT",
"HALIBUT,GREENLAND,RAW",
"HERRING,ATLANTIC,RAW",
"HERRING,ATLANTIC,CKD,DRY HEAT",
"HERRING,ATLANTIC,PICKLED",
"HERRING,ATLANTIC,KIPPERED",
"HERRING,PACIFIC,RAW",
"LING,RAW",
"LINGCOD,RAW",
"MACKEREL,ATLANTIC,RAW",
"MACKEREL,ATLANTIC,CKD,DRY HEAT",
"MACKEREL,JACK,CND,DRND SOL",
"MACKEREL,KING,RAW",
"MACKEREL,PACIFIC&JACK,MXD SP,RAW",
"MACKEREL,SPANISH,RAW",
"MACKEREL,SPANISH,CKD,DRY HEAT",
"MILKFISH,RAW",
"MONKFISH,RAW",
"MULLET,STRIPED,RAW",
"MULLET,STRIPED,CKD,DRY HEAT",
"OCEAN PERCH,ATLANTIC,RAW",
"OCEAN PERCH,ATLANTIC,CKD,DRY HEAT",
"POUT,OCEAN,RAW",
"PERCH,MIXED SPECIES,RAW",
"PERCH,MXD SP,CKD,DRY HEAT",
"PIKE,NORTHERN,RAW",
"PIKE,NORTHERN,CKD,DRY HEAT",
"PIKE,WALLEYE,RAW",
"POLLOCK,ATLANTIC,RAW",
"POLLOCK,WALLEYE,RAW",
"POLLOCK,WALLEYE,CKD,DRY HEAT",
"POMPANO,FLORIDA,RAW",
"POMPANO,FLORIDA,CKD,DRY HEAT",
"ROCKFISH,PACIFIC,MXD SP,RAW",
